step	command	key_inputs	key_outputs	purpose
download_public_data	python3 scripts/01_download_public_data.py --manifest data/manifest.tsv --include-conditional	data/manifest.tsv	data/raw/*	Download public GEO matrices, supplementary processed files, and platform annotations.
extract_geo_metadata	python3 scripts/02_extract_geo_series_matrix.py	data/raw/*/*series_matrix.txt.gz	data/processed/*/metadata.tsv;data/processed/*/series_expression_unused.tsv	Extract GEO sample metadata and series-matrix expression tables where applicable.
map_array_probes	python3 scripts/05_map_array_probes_to_genes.py	data/raw/*;data/processed/*	results/cohorts/cohort_qc_summary.tsv;data/processed/*/axis_gene_expression.tsv	Map platform probes to gene symbols and export axis-gene expression matrices.
build_dataset_summary	python3 scripts/03_build_dataset_summary.py	data/manifest.tsv;data/processed/*	results/dataset_summary.tsv	Summarize modeled cohorts, sample availability, and dataset roles.
score_calculation	python3 scripts/04_compute_barrier_axis_scores.py	data/processed/*/axis_gene_expression.tsv	results/axis/barrier_axis_scores.tsv;results/axis/gene_availability.tsv	Compute prespecified epithelial barrier-injury scores and module availability.
primary_endpoint_tables	python3 scripts/06_build_gse73661_endpoint.py; python3 scripts/13_fit_gse109142_endpoint.py; python3 scripts/17_build_gse12251_endpoint.py; python3 scripts/22_build_gse92415_endpoint.py; python3 scripts/23_build_adult_expansion_endpoints.py	results/axis/barrier_axis_scores.tsv;data/processed/*/metadata.tsv	data/processed/*/baseline_endpoint.tsv	Build cohort-specific baseline endpoint tables.
endpoint_modeling	python3 scripts/18_fit_age_stratified_endpoint_models.py	data/processed/*/baseline_endpoint.tsv;results/axis/barrier_axis_scores.tsv	results/clinical/age_stratified_endpoint_models.tsv	Fit age-stratified cohort-specific endpoint and phenotype models.
adult_expansion	python3 scripts/21_adult_trial_endpoint_expansion_gate.py; python3 scripts/23_build_adult_expansion_endpoints.py	data/processed/GSE92415;data/processed/GSE206285;data/processed/GSE23597;data/processed/GSE16879	results/clinical/adult_expansion_endpoint_models.tsv	Fit additional adult direct endpoint cohorts after feasibility gating.
score_strata	python3 scripts/24_build_clinical_score_strata_table.py	results/clinical/age_stratified_endpoint_models.tsv;data/processed/*/baseline_endpoint.tsv	results/clinical/clinical_score_strata_summary.tsv;results/clinical/clinical_score_strata.tsv	Export clinically interpretable low/middle/high within-cohort score tertile endpoint rates.
sensitivity_models	python3 scripts/10_sensitivity_analyses.py	data/processed/*/baseline_endpoint.tsv	results/clinical/sensitivity_models.tsv	Fit covariate-adjusted sensitivity models where metadata and sample size permit.
inflammation_specificity	python3 scripts/25_inflammation_specificity_models.py	data/processed/GSE73661/comparator_gene_expression.tsv;data/processed/*/axis_gene_expression.tsv;results/axis/barrier_axis_scores.tsv	results/clinical/inflammation_specificity_models.tsv;results/clinical/inflammation_specificity_correlations.tsv	Test overlap and incremental value against a generic inflammatory-response comparator where feasible.
gse193677_replication	python3 scripts/39_gse193677_replication.py	data/raw/GSE193677/GSE193677_series_matrix.txt.gz;data/raw/GSE193677/GSE193677_MSCCR_Biopsy_adjcounts.txt.gz	results/replication/GSE193677_replication_models.tsv;results/clinical/GSE193677_activity_correlations.tsv;results/axis/barrier_axis_scores.tsv	Compute independent adult registry replication and append canonical GSE193677 barrier-injury scores.
permutation_benchmark	python3 scripts/40_permutation_benchmark.py	data/processed/*/expression*.tsv;data/processed/*/baseline_endpoint.tsv;results/replication/GSE193677_replication_models.tsv	results/validation/permutation_benchmark.tsv	Run module-structured random gene-set benchmark for adult endpoints and GSE193677.
celltype_localization	python3 scripts/41_celltype_localization.py	data/raw/GSE214695/*	results/validation/celltype_localization.tsv;results/validation/celltype_localization_fine.tsv	Summarize public single-cell localization of score genes by broad and fine cell compartments.
rebuttal_replication_figures	MPLBACKEND=Agg python3 scripts/42_rebuttal_figures.py	results/replication/GSE193677_replication_models.tsv;results/clinical/GSE193677_activity_correlations.tsv;results/validation/permutation_benchmark.tsv;results/validation/celltype_localization.tsv	plots/publication/submission_grade/FigureS6_rebuttal_replication.*;plots/publication/submission_grade/FigureS7_permutation_benchmark.*;plots/publication/submission_grade/FigureS8_celltype_localization.*	Generate post-decision supplementary figures for replication, same-size permutation, and cell-type localization.
comparator_signature_benchmark	python3 scripts/43_comparator_signature_benchmark.py	docs/COMPARATOR_SIGNATURES.tsv;results/clinical/module_contribution_models.tsv;results/clinical/inflammation_specificity_models.tsv;results/axis/barrier_axis_scores.tsv	results/benchmarks/signature_availability.tsv;results/benchmarks/comparator_signature_benchmark.tsv;results/benchmarks/comparator_incremental_models.tsv	Benchmark the barrier-injury score against score components and inflammatory, stromal, and myeloid comparators.
gse193677_biopsy_sensitivity	python3 scripts/44_gse193677_biopsy_sensitivity.py	results/axis/barrier_axis_scores.tsv;data/raw/GSE193677/GSE193677_series_matrix.txt.gz	results/clinical/GSE193677_biopsy_selection_sensitivity.tsv	Test GSE193677 robustness across biopsy-selection rules, tissue-site subsets, and disease-type subsets.
matched_null_benchmark	python3 scripts/45_matched_null_benchmark.py	data/raw/GSE193677/GSE193677_MSCCR_Biopsy_adjcounts.txt.gz;results/replication/GSE193677_replication_models.tsv	results/validation/matched_null_benchmark.tsv;results/validation/matched_null_iterations.tsv	Run expression- and variance-matched random-gene null benchmark for GSE193677.
rebuttal_strengthening_figures	MPLBACKEND=Agg python3 scripts/46_rebuttal_strengthening_figures.py	results/benchmarks/comparator_signature_benchmark.tsv;results/clinical/GSE193677_biopsy_selection_sensitivity.tsv;results/validation/matched_null_benchmark.tsv;results/validation/matched_null_iterations.tsv	plots/publication/submission_grade/FigureS9_comparator_benchmark.*;plots/publication/submission_grade/FigureS10_GSE193677_biopsy_sensitivity.*;plots/publication/submission_grade/FigureS11_matched_null.*	Generate supplementary figures for comparator benchmarking, biopsy sensitivity, and matched random-gene nulls.
figures	python3 scripts/24_make_submission_grade_figures.py	results/clinical/*.tsv;results/meta/*.tsv;results/validation/evidence_grading.tsv	plots/publication/submission_grade/Figure*.png;plots/publication/submission_grade/Figure*.pdf;plots/publication/submission_grade/Figure*.svg	Regenerate submission-grade figures.
